"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2020","1.2886","1.2841","1.2927","1.2815","112.49K","0.33%"
"09/14/2020","1.2844","1.2803","1.2920","1.2775","94.49K","0.40%"
"09/11/2020","1.2793","1.2800","1.2866","1.2763","137.09K","-0.08%"
"09/10/2020","1.2803","1.3003","1.3036","1.2773","137.35K","-1.52%"
"09/09/2020","1.3000","1.2981","1.3024","1.2884","120.78K","0.10%"
"09/08/2020","1.2987","1.3170","1.3180","1.2980","118.81K","-1.36%"
"09/07/2020","1.3166","1.3274","1.3285","1.3140","90.19K","-0.87%"
"09/04/2020","1.3282","1.3282","1.3320","1.3175","127.64K","0.02%"
"09/03/2020","1.3280","1.3349","1.3358","1.3242","132.46K","-0.54%"
"09/02/2020","1.3352","1.3383","1.3404","1.3283","113.35K","-0.22%"
"09/01/2020","1.3381","1.3367","1.3484","1.3355","119.65K","0.09%"
"08/31/2020","1.3369","1.3342","1.3396","1.3301","106.06K","0.15%"
"08/28/2020","1.3349","1.3208","1.3357","1.3185","138.99K","1.14%"
"08/27/2020","1.3198","1.3207","1.3285","1.3162","131.19K","-0.08%"
"08/26/2020","1.3208","1.3153","1.3220","1.3117","107.48K","0.44%"
"08/25/2020","1.3150","1.3068","1.3171","1.3054","108.91K","0.67%"
"08/24/2020","1.3063","1.3086","1.3149","1.3052","100.06K","-0.18%"
"08/21/2020","1.3087","1.3216","1.3256","1.3059","135.43K","-0.95%"
"08/20/2020","1.3212","1.3096","1.3226","1.3063","140.22K","0.87%"
"08/19/2020","1.3098","1.3239","1.3269","1.3094","122.52K","-1.04%"
"08/18/2020","1.3235","1.3099","1.3250","1.3095","107.71K","1.02%"
"08/17/2020","1.3102","1.3087","1.3123","1.3074","102.55K","0.14%"
"08/14/2020","1.3084","1.3060","1.3144","1.3047","111.89K","0.16%"
"08/13/2020","1.3063","1.3035","1.3125","1.3030","114.46K","0.24%"
"08/12/2020","1.3032","1.3053","1.3068","1.3004","99.56K","-0.12%"
"08/11/2020","1.3048","1.3078","1.3132","1.3041","106.86K","-0.17%"
"08/10/2020","1.3070","1.3042","1.3104","1.3018","98.17K","0.15%"
"08/07/2020","1.3051","1.3153","1.3155","1.3009","118.63K","-0.72%"
"08/06/2020","1.3146","1.3114","1.3187","1.3111","122.41K","0.26%"
"08/05/2020","1.3112","1.3073","1.3162","1.3056","103.48K","0.40%"
"08/04/2020","1.3060","1.3075","1.3109","1.2981","105.10K","-0.09%"
"08/03/2020","1.3072","1.3082","1.3113","1.3004","115.90K","-0.12%"
"07/31/2020","1.3088","1.3098","1.3171","1.3069","145.49K","-0.04%"
"07/30/2020","1.3093","1.2997","1.3103","1.2944","143.04K","0.75%"
"07/29/2020","1.2995","1.2932","1.3013","1.2911","124.97K","0.50%"
"07/28/2020","1.2930","1.2882","1.2953","1.2838","130.33K","0.38%"
"07/27/2020","1.2881","1.2786","1.2903","1.2780","130.03K","0.72%"
"07/24/2020","1.2789","1.2741","1.2804","1.2717","145.14K","0.39%"
"07/23/2020","1.2739","1.2734","1.2761","1.2672","142.90K","0.05%"
"07/22/2020","1.2732","1.2733","1.2744","1.2644","128.93K","0.03%"
"07/21/2020","1.2728","1.2658","1.2768","1.2650","126.53K","0.54%"
"07/20/2020","1.2660","1.2565","1.2666","1.2517","116.32K","0.76%"
"07/17/2020","1.2565","1.2552","1.2575","1.2510","118.14K","0.13%"
"07/16/2020","1.2549","1.2584","1.2625","1.2520","130.57K","-0.25%"
"07/15/2020","1.2580","1.2552","1.2651","1.2548","129.88K","0.26%"
"07/14/2020","1.2548","1.2558","1.2567","1.2479","124.79K","-0.03%"
"07/13/2020","1.2552","1.2612","1.2667","1.2550","110.59K","-0.54%"
"07/10/2020","1.2620","1.2607","1.2665","1.2566","116.29K","0.13%"
"07/09/2020","1.2604","1.2614","1.2671","1.2600","126.28K","-0.04%"
"07/08/2020","1.2609","1.2542","1.2624","1.2508","116.00K","0.55%"
"07/07/2020","1.2540","1.2492","1.2593","1.2463","119.36K","0.39%"
"07/06/2020","1.2491","1.2485","1.2521","1.2459","110.42K","0.06%"
"07/03/2020","1.2483","1.2465","1.2494","1.2437","117.50K","0.14%"
"07/02/2020","1.2466","1.2476","1.2531","1.2456","135.88K","-0.03%"
"07/01/2020","1.2470","1.2401","1.2492","1.2358","123.35K","0.57%"
"06/30/2020","1.2399","1.2298","1.2402","1.2257","130.13K","0.84%"
"06/29/2020","1.2296","1.2340","1.2391","1.2251","128.34K","-0.30%"
"06/26/2020","1.2333","1.2421","1.2438","1.2313","134.44K","-0.65%"
"06/25/2020","1.2414","1.2419","1.2465","1.2388","145.88K","-0.03%"
"06/24/2020","1.2418","1.2521","1.2543","1.2414","153.24K","-0.80%"
"06/23/2020","1.2518","1.2467","1.2533","1.2431","151.22K","0.46%"
"06/22/2020","1.2461","1.2356","1.2478","1.2335","144.45K","0.85%"
"06/19/2020","1.2356","1.2421","1.2457","1.2343","146.88K","-0.55%"
"06/18/2020","1.2424","1.2556","1.2568","1.2401","152.59K","-1.04%"
"06/17/2020","1.2554","1.2573","1.2589","1.2510","161.18K","-0.16%"
"06/16/2020","1.2574","1.2605","1.2688","1.2553","157.42K","-0.22%"
"06/15/2020","1.2602","1.2531","1.2608","1.2454","146.52K","0.49%"
"06/12/2020","1.2540","1.2601","1.2655","1.2473","171.82K","-0.48%"
"06/11/2020","1.2600","1.2745","1.2756","1.2586","166.45K","-1.14%"
"06/10/2020","1.2745","1.2731","1.2814","1.2706","155.19K","0.13%"
"06/09/2020","1.2729","1.2723","1.2757","1.2617","143.74K","0.06%"
"06/08/2020","1.2722","1.2681","1.2737","1.2628","130.47K","0.47%"
"06/05/2020","1.2663","1.2607","1.2732","1.2582","139.69K","0.55%"
"06/04/2020","1.2594","1.2576","1.2634","1.2500","138.50K","0.17%"
"06/03/2020","1.2572","1.2550","1.2616","1.2544","148.20K","0.18%"
"06/02/2020","1.2549","1.2501","1.2577","1.2478","144.22K","0.46%"
"06/01/2020","1.2492","1.2339","1.2507","1.2322","127.01K","1.20%"
"05/29/2020","1.2344","1.2320","1.2395","1.2291","142.50K","0.23%"
"05/28/2020","1.2316","1.2261","1.2345","1.2234","145.56K","0.54%"
"05/27/2020","1.2250","1.2332","1.2355","1.2205","141.01K","-0.66%"
"05/26/2020","1.2331","1.2190","1.2364","1.2179","132.15K","1.22%"
"05/25/2020","1.2182","1.2179","1.2205","1.2163","86.97K","0.15%"
"05/22/2020","1.2164","1.2226","1.2242","1.2161","129.11K","-0.47%"
"05/21/2020","1.2222","1.2240","1.2250","1.2185","115.08K","-0.14%"
"05/20/2020","1.2239","1.2241","1.2289","1.2221","125.96K","-0.10%"
"05/19/2020","1.2251","1.2194","1.2297","1.2184","126.05K","0.51%"
"05/18/2020","1.2189","1.2086","1.2228","1.2075","105.24K","0.70%"
"05/15/2020","1.2104","1.2222","1.2239","1.2101","129.52K","-1.00%"
"05/14/2020","1.2226","1.2231","1.2242","1.2165","143.16K","-0.02%"
"05/13/2020","1.2229","1.2260","1.2341","1.2210","131.81K","-0.24%"
"05/12/2020","1.2259","1.2334","1.2377","1.2255","137.46K","-0.62%"
"05/11/2020","1.2335","1.2406","1.2438","1.2284","120.57K","-0.58%"
"05/08/2020","1.2407","1.2364","1.2469","1.2350","131.80K","0.37%"
"05/07/2020","1.2361","1.2347","1.2418","1.2265","131.56K","0.16%"
"05/06/2020","1.2341","1.2435","1.2451","1.2335","108.01K","-0.75%"
"05/05/2020","1.2434","1.2443","1.2485","1.2421","99.29K","-0.06%"
"05/04/2020","1.2442","1.2499","1.2504","1.2405","91.97K","-0.48%"
"05/01/2020","1.2502","1.2599","1.2602","1.2483","123.79K","-0.71%"
"04/30/2020","1.2592","1.2468","1.2643","1.2428","141.97K","1.03%"
"04/29/2020","1.2464","1.2425","1.2487","1.2388","127.23K","0.35%"
"04/28/2020","1.2421","1.2432","1.2519","1.2404","123.00K","-0.06%"
"04/27/2020","1.2428","1.2369","1.2456","1.2359","113.34K","0.49%"
"04/24/2020","1.2367","1.2344","1.2378","1.2298","129.90K","0.20%"
"04/23/2020","1.2342","1.2334","1.2416","1.2307","133.12K","0.08%"
"04/22/2020","1.2332","1.2294","1.2387","1.2273","122.99K","0.32%"
"04/21/2020","1.2293","1.2437","1.2451","1.2247","125.19K","-1.14%"
"04/20/2020","1.2435","1.2487","1.2505","1.2415","115.09K","-0.51%"
"04/17/2020","1.2499","1.2457","1.2523","1.2407","120.38K","0.35%"
"04/16/2020","1.2455","1.2514","1.2531","1.2407","123.83K","-0.47%"
"04/15/2020","1.2514","1.2616","1.2631","1.2437","124.90K","-0.86%"
"04/14/2020","1.2623","1.2514","1.2648","1.2503","116.26K","0.93%"
"04/13/2020","1.2507","1.2464","1.2537","1.2450","87.51K","0.44%"
"04/10/2020","1.2452","1.2458","1.2488","1.2443","59.27K","-0.02%"
"04/09/2020","1.2455","1.2385","1.2485","1.2361","138.46K","0.57%"
"04/08/2020","1.2385","1.2331","1.2421","1.2288","137.65K","0.39%"
"04/07/2020","1.2337","1.2232","1.2385","1.2164","159.89K","0.88%"
"04/06/2020","1.2229","1.2264","1.2328","1.2208","136.64K","-0.25%"
"04/03/2020","1.2260","1.2396","1.2412","1.2206","158.04K","-1.07%"
"04/02/2020","1.2392","1.2376","1.2476","1.2349","163.25K","0.13%"
"04/01/2020","1.2376","1.2429","1.2443","1.2329","140.49K","-0.34%"
"03/31/2020","1.2418","1.2414","1.2474","1.2251","145.06K","0.02%"
"03/30/2020","1.2416","1.2435","1.2469","1.2316","138.80K","-0.32%"
"03/27/2020","1.2456","1.2204","1.2486","1.2131","167.66K","2.09%"
"03/26/2020","1.2201","1.1875","1.2232","1.1775","154.48K","2.66%"
"03/25/2020","1.1885","1.1760","1.1976","1.1639","144.24K","1.09%"
"03/24/2020","1.1757","1.1549","1.1801","1.1508","146.31K","1.81%"
"03/23/2020","1.1548","1.1660","1.1741","1.1446","124.61K","-0.80%"
"03/20/2020","1.1641","1.1487","1.1934","1.1409","148.72K","1.36%"
"03/19/2020","1.1485","1.1619","1.1794","1.1473","159.15K","-1.10%"
