date,price,year
2017-07-21,1255.03,2017
2017-07-24,1253.74,2017
2017-07-25,1247.08,2017
2017-07-26,1260.35,2017
2017-07-27,1260.06,2017
2017-07-28,1269.62,2017
2017-07-31,1267.72,2017
2017-08-01,1267.69,2017
2017-08-02,1263.04,2017
2017-08-03,1269.28,2017
2017-08-04,1258.77,2017
2017-08-07,1257.81,2017
2017-08-08,1262.0,2017
2017-08-09,1275.91,2017
2017-08-10,1286.69,2017
2017-08-11,1289.07,2017
2017-08-14,1279.36,2017
2017-08-15,1272.96,2017
2017-08-16,1283.22,2017
2017-08-17,1288.61,2017
2017-08-18,1284.5,2017
2017-08-21,1291.56,2017
2017-08-22,1283.3,2017
2017-08-23,1290.45,2017
2017-08-24,1286.68,2017
2017-08-25,1291.05,2017
2017-08-28,1317.96,2017
2017-08-29,1308.91,2017
2017-08-30,1307.37,2017
2017-08-31,1321.22,2017
2017-09-01,1325.04,2017
2017-09-04,1332.8,2017
2017-09-05,1341.7,2017
2017-09-06,1333.64,2017
2017-09-07,1349.3,2017
2017-09-08,1346.56,2017
2017-09-11,1327.03,2017
2017-09-12,1331.08,2017
2017-09-13,1322.17,2017
2017-09-14,1334.24,2017
2017-09-15,1320.19,2017
2017-09-18,1308.86,2017
2017-09-19,1310.9,2017
2017-09-20,1299.0,2017
2017-09-21,1292.03,2017
2017-09-22,1297.3,2017
2017-09-25,1308.42,2017
2017-09-26,1293.38,2017
2017-09-27,1283.65,2017
2017-09-28,1287.03,2017
2017-09-29,1278.5,2017
2017-10-02,1271.22,2017
2017-10-03,1272.55,2017
2017-10-04,1274.0,2017
2017-10-05,1269.2,2017
2017-10-06,1276.5,2017
2017-10-09,1283.27,2017
2017-10-10,1289.71,2017
2017-10-11,1292.64,2017
2017-10-12,1294.12,2017
2017-10-13,1304.8,2017
2017-10-16,1295.08,2017
2017-10-17,1286.1,2017
2017-10-18,1280.42,2017
2017-10-19,1290.2,2017
2017-10-20,1280.7,2017
2017-10-23,1282.75,2017
2017-10-24,1275.8,2017
2017-10-25,1279.46,2017
2017-10-26,1267.3,2017
2017-10-27,1274.02,2017
2017-10-30,1277.33,2017
2017-10-31,1270.03,2017
2017-11-01,1275.27,2017
2017-11-02,1277.8,2017
2017-11-03,1269.93,2017
2017-11-06,1280.09,2017
2017-11-07,1277.71,2017
2017-11-08,1281.97,2017
2017-11-09,1286.15,2017
2017-11-10,1275.6,2017
2017-11-13,1277.94,2017
2017-11-14,1280.99,2017
2017-11-15,1279.5,2017
2017-11-16,1279.4,2017
2017-11-17,1294.2,2017
2017-11-20,1279.42,2017
2017-11-21,1282.01,2017
2017-11-22,1290.99,2017
2017-11-23,1291.45,2017
2017-11-24,1288.59,2017
2017-11-27,1294.54,2017
2017-11-28,1293.9,2017
2017-11-29,1284.17,2017
2017-11-30,1275.06,2017
2017-12-01,1280.51,2017
2017-12-04,1276.61,2017
2017-12-05,1266.34,2017
2017-12-06,1264.0,2017
2017-12-07,1247.16,2017
2017-12-08,1248.88,2017
2017-12-11,1242.94,2017
2017-12-12,1243.5,2017
2017-12-13,1254.01,2017
2017-12-14,1253.59,2017
2017-12-15,1255.23,2017
2017-12-18,1261.52,2017
2017-12-19,1261.83,2017
2017-12-20,1266.62,2017
2017-12-21,1266.97,2017
2017-12-22,1274.98,2017
2017-12-25,1273.72,2017
2017-12-26,1282.18,2017
2017-12-27,1287.69,2017
2017-12-28,1294.19,2017
2017-12-29,1302.94,2017
2018-01-01,1306.84,2018
2018-01-02,1320.4,2018
2018-01-03,1311.13,2018
2018-01-04,1321.0,2018
2018-01-05,1319.7,2018
2018-01-08,1318.18,2018
2018-01-09,1310.4,2018
2018-01-10,1317.85,2018
2018-01-11,1322.9,2018
2018-01-12,1337.61,2018
2018-01-15,1341.64,2018
2018-01-16,1340.86,2018
2018-01-17,1328.61,2018
2018-01-18,1328.04,2018
2018-01-19,1331.72,2018
2018-01-22,1333.24,2018
2018-01-23,1341.95,2018
2018-01-24,1356.22,2018
2018-01-25,1346.77,2018
2018-01-26,1350.02,2018
2018-01-29,1341.16,2018
2018-01-30,1338.62,2018
2018-01-31,1345.33,2018
2018-02-01,1348.37,2018
2018-02-02,1333.03,2018
2018-02-05,1340.69,2018
2018-02-06,1325.4,2018
2018-02-07,1319.2,2018
2018-02-08,1322.05,2018
2018-02-09,1316.14,2018
2018-02-12,1322.6,2018
2018-02-13,1331.89,2018
2018-02-14,1353.9,2018
2018-02-15,1354.01,2018
2018-02-16,1347.29,2018
2018-02-19,1345.4,2018
2018-02-20,1329.98,2018
2018-02-21,1326.7,2018
2018-02-22,1330.53,2018
2018-02-23,1328.95,2018
2018-02-26,1332.29,2018
2018-02-27,1317.54,2018
2018-02-28,1317.47,2018
2018-03-01,1317.12,2018
2018-03-02,1322.68,2018
2018-03-05,1321.05,2018
2018-03-06,1339.47,2018
2018-03-07,1324.58,2018
2018-03-08,1320.99,2018
2018-03-09,1323.43,2018
2018-03-12,1325.11,2018
2018-03-13,1326.4,2018
2018-03-14,1325.31,2018
2018-03-15,1315.9,2018
2018-03-16,1314.11,2018
2018-03-19,1317.14,2018
2018-03-20,1310.14,2018
2018-03-21,1332.1,2018
2018-03-22,1332.85,2018
2018-03-23,1347.33,2018
2018-03-26,1353.0,2018
2018-03-27,1345.38,2018
2018-03-28,1326.6,2018
2018-03-29,1320.8,2018
2018-03-30,1320.83,2018
2018-04-02,1341.7,2018
2018-04-03,1333.3,2018
2018-04-04,1333.5,2018
2018-04-05,1330.8,2018
2018-04-06,1333.42,2018
2018-04-09,1336.6,2018
2018-04-10,1341.88,2018
2018-04-11,1352.99,2018
2018-04-12,1337.98,2018
2018-04-13,1345.2,2018
2018-04-16,1348.24,2018
2018-04-17,1346.4,2018
2018-04-18,1350.66,2018
2018-04-19,1344.5,2018
2018-04-20,1335.59,2018
2018-04-23,1324.4,2018
2018-04-24,1331.75,2018
2018-04-25,1322.73,2018
2018-04-26,1318.09,2018
2018-04-27,1323.29,2018
2018-04-30,1315.2,2018
2018-05-01,1305.53,2018
2018-05-02,1305.96,2018
2018-05-03,1312.91,2018
2018-05-04,1315.18,2018
2018-05-07,1315.83,2018
2018-05-08,1316.4,2018
2018-05-09,1312.5,2018
2018-05-10,1321.2,2018
2018-05-11,1318.32,2018
2018-05-14,1313.82,2018
2018-05-15,1292.76,2018
2018-05-16,1291.77,2018
2018-05-17,1289.62,2018
2018-05-18,1329.8,2018
2018-05-21,1292.54,2018
2018-05-22,1293.58,2018
2018-05-23,1295.1,2018
2018-05-24,1304.45,2018
2018-05-25,1301.61,2018
2018-05-28,1298.15,2018
2018-05-29,1302.16,2018
2018-05-30,1302.65,2018
2018-05-31,1299.63,2018
2018-06-01,1293.46,2018
2018-06-04,1291.59,2018
2018-06-05,1297.06,2018
2018-06-06,1297.47,2018
2018-06-07,1297.4,2018
2018-06-08,1329.5,2018
2018-06-11,1298.23,2018
2018-06-12,1295.55,2018
2018-06-13,1299.42,2018
2018-06-14,1302.47,2018
2018-06-15,1279.75,2018
2018-06-18,1281.43,2018
2018-06-19,1275.2,2018
2018-06-20,1269.59,2018
2018-06-21,1267.4,2018
2018-06-22,1269.43,2018
2018-06-25,1266.09,2018
2018-06-26,1258.25,2018
2018-06-27,1252.99,2018
2018-06-28,1248.71,2018
2018-06-29,1253.09,2018
2018-07-02,1242.26,2018
2018-07-03,1255.2,2018
2018-07-04,1256.97,2018
2018-07-05,1257.4,2018
2018-07-06,1254.8,2018
2018-07-09,1258.47,2018
2018-07-10,1256.1,2018
2018-07-11,1242.8,2018
2018-07-12,1246.04,2018
2018-07-13,1241.67,2018
2018-07-16,1240.8,2018
2018-07-17,1227.23,2018
2018-07-18,1227.44,2018
2018-07-19,1223.54,2018
2018-07-20,1231.96,2018
2018-07-23,1224.32,2018
2018-07-24,1225.23,2018
2018-07-25,1233.3,2018
2018-07-26,1224.2,2018
2018-07-27,1222.79,2018
2018-07-30,1222.61,2018
2018-07-31,1224.17,2018
2018-08-01,1217.89,2018
2018-08-02,1208.4,2018
2018-08-03,1213.39,2018
2018-08-06,1208.69,2018
2018-08-07,1212.5,2018
2018-08-08,1213.38,2018
2018-08-09,1212.2,2018
2018-08-10,1211.29,2018
2018-08-13,1192.93,2018
2018-08-14,1193.98,2018
2018-08-15,1173.87,2018
2018-08-16,1175.28,2018
2018-08-17,1184.72,2018
2018-08-20,1191.3,2018
2018-08-21,1196.14,2018
2018-08-22,1195.16,2018
2018-08-23,1184.6,2018
2018-08-24,1206.07,2018
2018-08-27,1211.02,2018
2018-08-28,1202.8,2018
2018-08-29,1207.2,2018
2018-08-30,1199.98,2018
2018-08-31,1201.16,2018
2018-09-03,1200.85,2018
2018-09-04,1192.2,2018
2018-09-05,1197.18,2018
2018-09-06,1201.19,2018
2018-09-07,1196.21,2018
2018-09-10,1195.12,2018
2018-09-11,1197.15,2018
2018-09-12,1206.26,2018
2018-09-13,1202.14,2018
2018-09-14,1193.7,2018
2018-09-17,1198.49,2018
2018-09-18,1199.62,2018
2018-09-19,1204.05,2018
2018-09-20,1207.39,2018
2018-09-21,1199.53,2018
2018-09-24,1199.39,2018
2018-09-25,1201.3,2018
2018-09-26,1196.56,2018
2018-09-27,1183.65,2018
2018-09-28,1192.17,2018
2018-10-01,1189.03,2018
2018-10-02,1205.7,2018
2018-10-03,1198.06,2018
2018-10-04,1199.17,2018
