"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2019","442.95","442.95","442.95","442.95","","1.86%"
"10/18/2019","434.86","434.86","434.86","434.86","","0.47%"
"10/17/2019","432.83","432.83","432.83","432.83","","0.52%"
"10/16/2019","430.61","430.61","430.61","430.61","","0.35%"
"10/15/2019","429.11","429.11","429.11","429.11","","1.65%"
"10/14/2019","422.16","422.16","422.16","422.16","","0.05%"
"10/11/2019","421.94","421.94","421.94","421.94","","2.33%"
"10/10/2019","412.34","412.34","412.34","412.34","","1.02%"
"10/09/2019","408.17","408.17","408.17","408.17","","0.32%"
"10/08/2019","406.85","406.85","406.85","406.85","","-0.86%"
"10/07/2019","410.37","410.37","410.37","410.37","","0.37%"
"10/04/2019","408.84","408.84","408.84","408.84","","-0.34%"
"10/02/2019","410.24","410.24","410.24","410.24","","-2.00%"
"10/01/2019","418.60","418.60","418.60","418.60","","-2.88%"
"09/30/2019","431.01","431.01","431.01","431.01","","1.61%"
"09/27/2019","424.20","424.20","424.20","424.20","","0.76%"
"09/26/2019","420.99","420.99","420.99","420.99","","0.49%"
"09/25/2019","418.93","418.93","418.93","418.93","","-0.62%"
"09/24/2019","421.53","421.53","421.53","421.53","","0.35%"
"09/23/2019","420.07","420.07","420.07","420.07","","-0.92%"
"09/20/2019","423.96","423.96","423.96","423.96","","0.06%"
"09/19/2019","423.70","423.70","423.70","423.70","","-0.67%"
"09/18/2019","426.57","426.57","426.57","426.57","","-0.91%"
"09/17/2019","430.50","430.50","430.50","430.50","","-0.51%"
"09/16/2019","432.70","432.70","432.70","432.70","","-1.08%"
"09/13/2019","437.44","437.44","437.44","437.44","","0.58%"
"09/12/2019","434.92","434.92","434.92","434.92","","-0.07%"
"09/11/2019","435.24","435.24","435.24","435.24","","0.62%"
"09/10/2019","432.57","432.57","432.57","432.57","","1.22%"
"09/09/2019","427.34","427.34","427.34","427.34","","-0.23%"
"09/06/2019","428.33","428.33","428.33","428.33","","0.39%"
"09/05/2019","426.65","426.65","426.65","426.65","","1.45%"
"09/04/2019","420.56","420.56","420.56","420.56","","0.89%"
"09/03/2019","416.83","416.83","416.83","416.83","","-1.17%"
"09/02/2019","421.75","421.75","421.75","421.75","","0.46%"
"08/30/2019","419.83","419.83","419.83","419.83","","0.96%"
"08/29/2019","415.85","415.85","415.85","415.85","","1.63%"
"08/28/2019","409.17","409.17","409.17","409.17","","-0.02%"
"08/27/2019","409.25","409.25","409.25","409.25","","1.19%"
"08/26/2019","404.42","404.42","404.42","404.42","","0.61%"
"08/23/2019","401.96","401.96","401.96","401.96","","-0.71%"
"08/22/2019","404.84","404.84","404.84","404.84","","0.11%"
"08/21/2019","404.39","404.39","404.39","404.39","","1.50%"
"08/20/2019","398.42","398.42","398.42","398.42","","-1.00%"
"08/19/2019","402.43","402.43","402.43","402.43","","1.14%"
"08/16/2019","397.88","397.88","397.88","397.88","","1.40%"
"08/15/2019","392.39","392.39","392.39","392.39","","-1.50%"
"08/14/2019","398.35","398.35","398.35","398.35","","-2.05%"
"08/13/2019","406.68","406.68","406.68","406.68","","1.01%"
"08/12/2019","402.60","402.60","402.60","402.60","","-0.84%"
"08/09/2019","406.00","406.00","406.00","406.00","","-2.10%"
"08/08/2019","414.72","414.72","414.72","414.72","","2.14%"
"08/07/2019","406.03","406.03","406.03","406.03","","0.83%"
"08/06/2019","402.68","402.68","402.68","402.68","","1.43%"
"08/05/2019","396.99","396.99","396.99","396.99","","-1.37%"
"08/02/2019","402.50","402.50","402.50","402.50","","-2.95%"
"08/01/2019","414.74","414.74","414.74","414.74","","0.03%"
"07/31/2019","414.61","414.61","414.61","414.61","","0.38%"
"07/30/2019","413.06","413.06","413.06","413.06","","-3.27%"
"07/29/2019","427.04","427.04","427.04","427.04","","0.18%"
"07/26/2019","426.26","426.26","426.26","426.26","","-0.07%"
"07/25/2019","426.56","426.56","426.56","426.56","","-0.84%"
"07/24/2019","430.19","430.19","430.19","430.19","","0.91%"
"07/23/2019","426.31","426.31","426.31","426.31","","1.90%"
"07/22/2019","418.35","418.35","418.35","418.35","","0.18%"
"07/19/2019","417.59","417.59","417.59","417.59","","0.54%"
"07/18/2019","415.36","415.36","415.36","415.36","","-0.62%"
"07/17/2019","417.97","417.97","417.97","417.97","","-0.44%"
"07/16/2019","419.81","419.81","419.81","419.81","","0.75%"
"07/15/2019","416.70","416.70","416.70","416.70","","0.21%"
"07/12/2019","415.84","415.84","415.84","415.84","","-0.23%"
"07/11/2019","416.80","416.80","416.80","416.80","","0.09%"
"07/10/2019","416.41","416.41","416.41","416.41","","0.27%"
"07/09/2019","415.30","415.30","415.30","415.30","","-1.07%"
"07/08/2019","419.80","419.80","419.80","419.80","","-0.48%"
"07/05/2019","421.81","421.81","421.81","421.81","","-0.36%"
"07/04/2019","423.32","423.32","423.32","423.32","","0.76%"
"07/03/2019","420.11","420.11","420.11","420.11","","0.83%"
"07/02/2019","416.64","416.64","416.64","416.64","","0.28%"
"07/01/2019","415.46","415.46","415.46","415.46","","0.61%"
"06/28/2019","412.94","412.94","412.94","412.94","","1.74%"
"06/27/2019","405.88","405.88","405.88","405.88","","0.37%"
"06/26/2019","404.39","404.39","404.39","404.39","","0.47%"
"06/25/2019","402.48","402.48","402.48","402.48","","-0.64%"
"06/24/2019","405.07","405.07","405.07","405.07","","-0.30%"
"06/21/2019","406.29","406.29","406.29","406.29","","-0.04%"
"06/20/2019","406.46","406.46","406.46","406.46","","0.88%"
"06/19/2019","402.93","402.93","402.93","402.93","","-0.29%"
"06/18/2019","404.12","404.12","404.12","404.12","","1.37%"
"06/17/2019","398.64","398.64","398.64","398.64","","-2.52%"
"06/14/2019","408.96","408.96","408.96","408.96","","-0.43%"
"06/13/2019","410.73","410.73","410.73","410.73","","0.56%"
"06/12/2019","408.44","408.44","408.44","408.44","","0.00%"
"06/11/2019","408.45","408.45","408.45","408.45","","0.50%"
"06/07/2019","406.41","406.41","406.41","406.41","","1.14%"
"06/06/2019","401.82","401.82","401.82","401.82","","-0.32%"
"06/05/2019","403.12","403.12","403.12","403.12","","0.33%"
"06/04/2019","401.78","401.78","401.78","401.78","","1.91%"
"06/03/2019","394.24","394.24","394.24","394.24","","0.28%"
"05/31/2019","393.12","393.12","393.12","393.12","","-1.14%"
"05/30/2019","397.64","397.64","397.64","397.64","","0.46%"
"05/29/2019","395.80","395.80","395.80","395.80","","-0.70%"
"05/28/2019","398.60","398.60","398.60","398.60","","-1.06%"
"05/27/2019","402.89","402.89","402.89","402.89","","0.32%"
"05/24/2019","401.59","401.59","401.59","401.59","","-0.06%"
"05/23/2019","401.83","401.83","401.83","401.83","","-1.75%"
"05/22/2019","408.98","408.98","408.98","408.98","","-0.93%"
"05/21/2019","412.82","412.82","412.82","412.82","","0.48%"
"05/20/2019","410.85","410.85","410.85","410.85","","-1.45%"
"05/17/2019","416.91","416.91","416.91","416.91","","-0.67%"
"05/16/2019","419.71","419.71","419.71","419.71","","-1.00%"
"05/15/2019","423.93","423.93","423.93","423.93","","0.40%"
"05/14/2019","422.24","422.24","422.24","422.24","","1.03%"
"05/13/2019","417.92","417.92","417.92","417.92","","-1.58%"
"05/10/2019","424.64","424.64","424.64","424.64","","-0.56%"
"05/09/2019","427.01","427.01","427.01","427.01","","-1.58%"
"05/08/2019","433.86","433.86","433.86","433.86","","-1.60%"
"05/07/2019","440.93","440.93","440.93","440.93","","-2.52%"
"05/06/2019","452.32","452.32","452.32","452.32","","-1.58%"
"05/03/2019","459.57","459.57","459.57","459.57","","-0.67%"
"05/02/2019","462.67","462.67","462.67","462.67","","0.37%"
"04/30/2019","460.95","460.95","460.95","460.95","","-0.77%"
"04/29/2019","464.55","464.55","464.55","464.55","","0.03%"
"04/26/2019","464.42","464.42","464.42","464.42","","0.18%"
"04/25/2019","463.58","463.58","463.58","463.58","","-0.05%"
"04/24/2019","463.79","463.79","463.79","463.79","","-0.44%"
"04/23/2019","465.82","465.82","465.82","465.82","","-0.27%"
"04/18/2019","467.09","467.09","467.09","467.09","","1.22%"
"04/17/2019","461.45","461.45","461.45","461.45","","0.76%"
"04/16/2019","457.95","457.95","457.95","457.95","","0.41%"
"04/15/2019","456.07","456.07","456.07","456.07","","1.03%"
"04/12/2019","451.41","451.41","451.41","451.41","","0.08%"
"04/11/2019","451.05","451.05","451.05","451.05","","1.36%"
"04/10/2019","445.01","445.01","445.01","445.01","","0.54%"
"04/09/2019","442.63","442.63","442.63","442.63","","-0.92%"
"04/08/2019","446.76","446.76","446.76","446.76","","0.52%"
"04/05/2019","444.47","444.47","444.47","444.47","","-0.02%"
"04/04/2019","444.56","444.56","444.56","444.56","","0.51%"
"04/03/2019","442.32","442.32","442.32","442.32","","2.51%"
"04/02/2019","431.51","431.51","431.51","431.51","","-0.56%"
"04/01/2019","433.95","433.95","433.95","433.95","","1.14%"
"03/29/2019","429.06","429.06","429.06","429.06","","0.75%"
"03/28/2019","425.87","425.87","425.87","425.87","","-0.48%"
"03/27/2019","427.91","427.91","427.91","427.91","","0.91%"
"03/26/2019","424.07","424.07","424.07","424.07","","0.31%"
"03/25/2019","422.77","422.77","422.77","422.77","","-0.26%"
"03/22/2019","423.86","423.86","423.86","423.86","","-1.29%"
"03/21/2019","429.41","429.41","429.41","429.41","","-1.71%"
"03/20/2019","436.90","436.90","436.90","436.90","","-1.98%"
"03/19/2019","445.74","445.74","445.74","445.74","","0.93%"
"03/18/2019","441.62","441.62","441.62","441.62","","-0.27%"
"03/15/2019","442.81","442.81","442.81","442.81","","0.40%"
"03/14/2019","441.06","441.06","441.06","441.06","","-0.52%"
"03/13/2019","443.35","443.35","443.35","443.35","","1.04%"
"03/12/2019","438.77","438.77","438.77","438.77","","1.20%"
"03/11/2019","433.58","433.58","433.58","433.58","","1.51%"
"03/08/2019","427.14","427.14","427.14","427.14","","0.09%"
"03/07/2019","426.77","426.77","426.77","426.77","","0.60%"
"03/06/2019","424.21","424.21","424.21","424.21","","-1.05%"
"03/05/2019","428.73","428.73","428.73","428.73","","-0.07%"
"03/04/2019","429.03","429.03","429.03","429.03","","-0.05%"
"03/01/2019","429.26","429.26","429.26","429.26","","1.00%"
"02/28/2019","425.00","425.00","425.00","425.00","","-0.14%"
"02/27/2019","425.58","425.58","425.58","425.58","","-0.56%"
"02/26/2019","427.97","427.97","427.97","427.97","","1.39%"
"02/25/2019","422.12","422.12","422.12","422.12","","-0.30%"
"02/22/2019","423.41","423.41","423.41","423.41","","0.01%"
"02/21/2019","423.37","423.37","423.37","423.37","","0.29%"
"02/20/2019","422.16","422.16","422.16","422.16","","1.56%"
"02/19/2019","415.68","415.68","415.68","415.68","","0.92%"
"02/18/2019","411.90","411.90","411.90","411.90","","-1.64%"
"02/15/2019","418.75","418.75","418.75","418.75","","2.92%"
"02/14/2019","406.88","406.88","406.88","406.88","","-1.26%"
"02/13/2019","412.06","412.06","412.06","412.06","","0.59%"
"02/12/2019","409.63","409.63","409.63","409.63","","0.54%"
"02/11/2019","407.42","407.42","407.42","407.42","","2.05%"
"02/08/2019","399.22","399.22","399.22","399.22","","-0.91%"
"02/07/2019","402.90","402.90","402.90","402.90","","-2.58%"
"02/06/2019","413.57","413.57","413.57","413.57","","0.28%"
"02/05/2019","412.40","412.40","412.40","412.40","","1.83%"
"02/04/2019","404.98","404.98","404.98","404.98","","-0.36%"
"02/01/2019","406.43","406.43","406.43","406.43","","0.08%"
"01/31/2019","406.12","406.12","406.12","406.12","","-0.28%"
"01/30/2019","407.26","407.26","407.26","407.26","","-0.48%"
"01/29/2019","409.22","409.22","409.22","409.22","","-0.40%"
"01/28/2019","410.87","410.87","410.87","410.87","","-0.19%"
"01/25/2019","411.67","411.67","411.67","411.67","","1.50%"
"01/24/2019","405.57","405.57","405.57","405.57","","0.03%"
"01/23/2019","405.44","405.44","405.44","405.44","","1.45%"
"01/22/2019","399.66","399.66","399.66","399.66","","0.15%"
"01/21/2019","399.05","399.05","399.05","399.05","","0.01%"
"01/18/2019","399.03","399.03","399.03","399.03","","2.57%"
"01/17/2019","389.04","389.04","389.04","389.04","","0.14%"
"01/16/2019","388.49","388.49","388.49","388.49","","2.59%"
"01/15/2019","378.68","378.68","378.68","378.68","","-1.76%"
"01/14/2019","385.48","385.48","385.48","385.48","","-0.04%"
"01/11/2019","385.64","385.64","385.64","385.64","","0.15%"
"01/10/2019","385.06","385.06","385.06","385.06","","-1.33%"
"01/09/2019","390.25","390.25","390.25","390.25","","1.10%"
"01/08/2019","386.00","386.00","386.00","386.00","","1.33%"
"01/07/2019","380.93","380.93","380.93","380.93","","0.71%"
"01/04/2019","378.23","378.23","378.23","378.23","","3.42%"
"01/03/2019","365.73","365.73","365.73","365.73","","-1.93%"
"01/02/2019","372.93","372.93","372.93","372.93","","0.30%"
"12/28/2018","371.82","371.82","371.82","371.82","","1.02%"
"12/27/2018","368.08","368.08","368.08","368.08","","-1.64%"
"12/21/2018","374.22","374.22","374.22","374.22","","1.95%"
"12/20/2018","367.05","367.05","367.05","367.05","","-1.74%"
"12/19/2018","373.54","373.54","373.54","373.54","","-2.65%"
"12/18/2018","383.71","383.71","383.71","383.71","","1.42%"
"12/17/2018","378.35","378.35","378.35","378.35","","-1.54%"
"12/14/2018","384.25","384.25","384.25","384.25","","-0.70%"
"12/13/2018","386.95","386.95","386.95","386.95","","-0.27%"
"12/12/2018","388.00","388.00","388.00","388.00","","0.67%"
"12/11/2018","385.40","385.40","385.40","385.40","","-0.35%"
"12/10/2018","386.76","386.76","386.76","386.76","","-2.24%"
"12/07/2018","395.62","395.62","395.62","395.62","","-0.99%"
"12/06/2018","399.58","399.58","399.58","399.58","","-2.83%"
"12/05/2018","411.21","411.21","411.21","411.21","","-1.51%"
"12/04/2018","417.53","417.53","417.53","417.53","","-3.39%"
"12/03/2018","432.20","432.20","432.20","432.20","","1.25%"
"11/30/2018","426.87","426.87","426.87","426.87","","-1.27%"
"11/29/2018","432.36","432.36","432.36","432.36","","0.95%"
"11/28/2018","428.28","428.28","428.28","428.28","","-0.43%"
"11/27/2018","430.11","430.11","430.11","430.11","","0.00%"
"11/26/2018","430.09","430.09","430.09","430.09","","2.37%"
"11/23/2018","420.13","420.13","420.13","420.13","","1.45%"
"11/22/2018","414.13","414.13","414.13","414.13","","-0.73%"
"11/21/2018","417.18","417.18","417.18","417.18","","0.30%"
"11/20/2018","415.94","415.94","415.94","415.94","","-1.19%"
"11/19/2018","420.94","420.94","420.94","420.94","","-0.91%"
"11/16/2018","424.81","424.81","424.81","424.81","","-0.20%"
"11/15/2018","425.68","425.68","425.68","425.68","","-0.56%"
"11/14/2018","428.07","428.07","428.07","428.07","","-0.40%"
"11/13/2018","429.78","429.78","429.78","429.78","","1.76%"
"11/12/2018","422.33","422.33","422.33","422.33","","-1.47%"
"11/09/2018","428.65","428.65","428.65","428.65","","0.71%"
"11/08/2018","425.61","425.61","425.61","425.61","","-0.92%"
"11/07/2018","429.57","429.57","429.57","429.57","","0.62%"
"11/06/2018","426.93","426.93","426.93","426.93","","1.95%"
"11/05/2018","418.75","418.75","418.75","418.75","","-0.73%"
"11/02/2018","421.84","421.84","421.84","421.84","","0.88%"
"11/01/2018","418.14","418.14","418.14","418.14","","1.91%"
"10/31/2018","410.30","410.30","410.30","410.30","","-0.61%"
"10/30/2018","412.82","412.82","412.82","412.82","","-1.99%"
