"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/1998","1.6320","1.6385","1.6385","1.6271","","-0.37%"
"07/08/1998","1.6380","1.6390","1.6403","1.6345","","0.03%"
"07/07/1998","1.6375","1.6400","1.6427","1.6331","","-0.07%"
"07/06/1998","1.6387","1.6462","1.6498","1.6362","","-0.53%"
"07/03/1998","1.6475","1.6582","1.6605","1.6451","","-0.62%"
"07/02/1998","1.6577","1.6595","1.6631","1.6540","","-0.17%"
"07/01/1998","1.6605","1.6665","1.6688","1.6572","","-0.45%"
"06/30/1998","1.6680","1.6665","1.6710","1.6618","","0.09%"
"06/29/1998","1.6665","1.6587","1.6702","1.6580","","0.23%"
"06/26/1998","1.6627","1.6714","1.6753","1.6572","","-0.54%"
"06/25/1998","1.6717","1.6683","1.6742","1.6643","","0.20%"
"06/24/1998","1.6684","1.6668","1.6728","1.6633","","0.13%"
"06/23/1998","1.6663","1.6724","1.6771","1.6623","","-0.50%"
"06/22/1998","1.6747","1.6664","1.6763","1.6603","","0.16%"
"06/19/1998","1.6720","1.6724","1.6788","1.6685","","0.04%"
"06/18/1998","1.6713","1.6687","1.6781","1.6625","","0.16%"
"06/17/1998","1.6687","1.6516","1.6703","1.6513","","1.05%"
"06/16/1998","1.6513","1.6355","1.6547","1.6342","","0.90%"
"06/15/1998","1.6365","1.6328","1.6378","1.6265","","0.17%"
"06/12/1998","1.6338","1.6280","1.6345","1.6260","","0.36%"
"06/11/1998","1.6280","1.6280","1.6351","1.6255","","-0.03%"
"06/10/1998","1.6285","1.6355","1.6385","1.6255","","-0.49%"
"06/09/1998","1.6365","1.6335","1.6383","1.6305","","0.18%"
"06/08/1998","1.6335","1.6330","1.6355","1.6305","","-0.02%"
"06/05/1998","1.6339","1.6363","1.6400","1.6320","","-0.16%"
"06/04/1998","1.6365","1.6400","1.6535","1.6343","","-0.16%"
"06/03/1998","1.6391","1.6389","1.6408","1.6313","","0.01%"
"06/02/1998","1.6390","1.6398","1.6410","1.6345","","-0.05%"
"06/01/1998","1.6399","1.6332","1.6428","1.6275","","0.58%"
"05/29/1998","1.6305","1.6277","1.6342","1.6233","","0.26%"
"05/28/1998","1.6263","1.6302","1.6349","1.6212","","-0.31%"
"05/27/1998","1.6313","1.6357","1.6427","1.6282","","-0.24%"
"05/26/1998","1.6353","1.6286","1.6389","1.6273","","0.39%"
"05/25/1998","1.6290","1.6324","1.6329","1.6269","","-0.09%"
"05/22/1998","1.6305","1.6295","1.6340","1.6265","","0.06%"
"05/21/1998","1.6295","1.6330","1.6350","1.6259","","-0.23%"
"05/20/1998","1.6333","1.6243","1.6357","1.6230","","0.70%"
"05/19/1998","1.6220","1.6245","1.6302","1.6203","","-0.11%"
"05/18/1998","1.6238","1.6211","1.6255","1.6155","","-0.17%"
"05/15/1998","1.6265","1.6315","1.6351","1.6240","","-0.25%"
"05/14/1998","1.6305","1.6320","1.6328","1.6199","","-0.03%"
"05/13/1998","1.6310","1.6330","1.6378","1.6295","","-0.10%"
"05/12/1998","1.6326","1.6313","1.6363","1.6292","","0.13%"
"05/11/1998","1.6305","1.6365","1.6442","1.6287","","-0.40%"
"05/08/1998","1.6370","1.6480","1.6490","1.6335","","-0.70%"
"05/07/1998","1.6485","1.6607","1.6620","1.6447","","-0.72%"
"05/06/1998","1.6605","1.6622","1.6647","1.6575","","-0.06%"
"05/05/1998","1.6615","1.6670","1.6680","1.6570","","-0.31%"
"05/04/1998","1.6667","1.6618","1.6705","1.6610","","0.00%"
"05/01/1998","1.6667","1.6708","1.6745","1.6567","","-0.26%"
"04/30/1998","1.6710","1.6703","1.6760","1.6660","","0.00%"
"04/29/1998","1.6710","1.6655","1.6732","1.6645","","0.30%"
"04/28/1998","1.6660","1.6730","1.6756","1.6647","","-0.50%"
"04/27/1998","1.6744","1.6673","1.6778","1.6623","","0.39%"
"04/24/1998","1.6679","1.6670","1.6721","1.6634","","0.11%"
"04/23/1998","1.6660","1.6719","1.6734","1.6582","","-0.39%"
"04/22/1998","1.6725","1.6740","1.6799","1.6663","","-0.09%"
"04/21/1998","1.6740","1.6775","1.6816","1.6735","","-0.18%"
"04/20/1998","1.6770","1.6835","1.6865","1.6717","","-0.45%"
"04/17/1998","1.6845","1.6910","1.6977","1.6823","","-0.41%"
"04/16/1998","1.6915","1.6840","1.6941","1.6808","","0.42%"
"04/15/1998","1.6845","1.6865","1.6879","1.6782","","-0.03%"
"04/14/1998","1.6850","1.6670","1.6893","1.6655","","1.11%"
"04/13/1998","1.6665","1.6715","1.6742","1.6655","","-0.45%"
"04/10/1998","1.6740","1.6700","1.6765","1.6690","","0.26%"
"04/09/1998","1.6696","1.6739","1.6804","1.6669","","-0.36%"
"04/08/1998","1.6757","1.6670","1.6805","1.6635","","0.48%"
"04/07/1998","1.6677","1.6660","1.6694","1.6630","","0.05%"
"04/06/1998","1.6668","1.6555","1.6680","1.6550","","0.54%"
